ID|Name|Types|Speed|HP|XP|Attack|Defense|Weight
77|Ponyta|Fire|90|50|82|85|55|300
78|Rapidash|Fire|105|65|175|100|70|950
79|Slowpoke|Water,Psychic|15|90|63|65|65|360
80|Slowbro|Water,Psychic|30|95|172|75|110|785
81|Magnemite|Electric,Steel|45|25|65|35|70|60
82|Magneton|Electric,Steel|70|50|163|60|95|600
83|Farfetchd|Normal,Flying|60|52|132|90|55|150
84|Doduo|Normal,Flying|75|35|62|85|45|392
85|Dodrio|Normal,Flying|110|60|165|110|70|852
86|Seel|Water|45|65|65|45|55|900
87|Dewgong|Water,Ice|70|90|166|70|80|1200
88|Grimer|Poison|25|80|65|80|50|300
89|Muk|Poison|50|105|175|105|75|300
90|Shellder|Water|40|30|61|65|100|40
91|Cloyster|Water,Ice|70|50|184|95|180|1325
92|Gastly|Ghost,Poison|80|30|62|35|30|1
93|Haunter|Ghost,Poison|95|45|142|50|45|1
94|Gengar|Ghost,Poison|110|60|225|65|60|405
95|Onix|Rock,Ground|70|35|77|45|160|2100
96|Drowzee|Psychic|42|60|66|48|45|324
97|Hypno|Psychic|67|85|169|73|70|756
98|Krabby|Water|50|30|65|105|90|65
99|Kingler|Water|75|55|166|130|115|600
100|Voltorb|Electric|100|40|66|30|50|104
101|Electrode|Electric|150|60|172|50|70|666
102|Exeggcute|Grass,Psychic|40|60|65|40|80|25
103|Exeggutor|Grass,Psychic|55|95|186|95|85|1200
104|Cubone|Ground|35|50|64|50|95|65
105|Marowak|Ground|45|60|149|80|110|450
106|Hitmonlee|Fighting|87|50|159|120|53|498
107|Hitmonchan|Fighting|76|50|159|105|79|502
108|Lickitung|Normal|30|90|77|55|75|655
109|Koffing|Poison|35|40|68|65|95|10
110|Weezing|Poison|60|65|172|90|120|95
111|Rhyhorn|Ground,Rock|25|80|69|85|95|1150
112|Rhydon|Ground,Rock|40|105|170|130|120|1200
113|Chansey|Normal|50|250|395|5|5|346
114|Tangela|Grass|60|65|87|55|115|350
115|Kangaskhan|Normal|90|105|172|95|80|800
116|Horsea|Water|60|30|59|40|70|80
117|Seadra|Water|85|55|154|65|95|250
118|Goldeen|Water|63|45|64|67|60|150
119|Seaking|Water|68|80|158|92|65|390
120|Staryu|Water|85|30|68|45|55|345
121|Starmie|Water,Psychic|115|60|182|75|85|800
122|Mr-mime|Psychic,Fairy|90|40|161|45|65|545
123|Scyther|Bug,Flying|105|70|100|110|80|560
124|Jynx|Ice,Psychic|95|65|159|50|35|406
125|Electabuzz|Electric|105|65|172|83|57|300
126|Magmar|Fire|93|65|173|95|57|445
127|Pinsir|Bug|85|65|175|125|100|550
128|Tauros|Normal|110|75|172|100|95|884
129|Magikarp|Water|80|20|40|10|55|100
130|Gyarados|Water,Flying|81|95|189|125|79|2350
131|Lapras|Water,Ice|60|130|187|85|80|2200
132|Ditto|Normal|48|48|101|48|48|40
133|Eevee|Normal|55|55|65|55|50|65
134|Vaporeon|Water|65|130|184|65|60|290
135|Jolteon|Electric|130|65|184|65|60|245
136|Flareon|Fire|65|65|184|130|60|250
137|Porygon|Normal|40|65|79|60|70|365
138|Omanyte|Rock,Water|35|35|71|40|100|75
139|Omastar|Rock,Water|55|70|173|60|125|350
140|Kabuto|Rock,Water|55|30|71|80|90|115
141|Kabutops|Rock,Water|80|60|173|115|105|405
142|Aerodactyl|Rock,Flying|130|80|180|105|65|590
143|Snorlax|Normal|30|160|189|110|65|4600
144|Articuno|Ice,Flying|85|90|261|85|100|554
145|Zapdos|Electric,Flying|100|90|261|90|85|526
146|Moltres|Fire,Flying|90|90|261|100|90|600
147|Dratini|Dragon|50|41|60|64|45|33
148|Dragonair|Dragon|70|61|147|84|65|165
149|Dragonite|Dragon,Flying|80|91|270|134|95|2100
150|Mewtwo|Psychic|130|106|306|110|90|1220
151|Mew|Psychic|100|100|270|100|100|40
152|Chikorita|Grass|45|45|64|49|65|64
153|Bayleef|Grass|60|60|142|62|80|158
154|Meganium|Grass|80|80|236|82|100|1005
155|Cyndaquil|Fire|65|39|62|52|43|79
156|Quilava|Fire|80|58|142|64|58|190
157|Typhlosion|Fire|100|78|240|84|78|795
158|Totodile|Water|43|50|63|65|64|95
159|Croconaw|Water|58|65|142|80|80|250
160|Feraligatr|Water|78|85|239|105|100|888
161|Sentret|Normal|20|35|43|46|34|60
162|Furret|Normal|90|85|145|76|64|325
163|Hoothoot|Normal,Flying|50|60|52|30|30|212
164|Noctowl|Normal,Flying|70|100|158|50|50|408
165|Ledyba|Bug,Flying|55|40|53|20|30|108
166|Ledian|Bug,Flying|85|55|137|35|50|356
167|Spinarak|Bug,Poison|30|40|50|60|40|85
168|Ariados|Bug,Poison|40|70|140|90|70|335
169|Crobat|Poison,Flying|130|85|241|90|80|750
170|Chinchou|Water,Electric|67|75|66|38|38|120
171|Lanturn|Water,Electric|67|125|161|58|58|225
172|Pichu|Electric|60|20|41|40|15|20
173|Cleffa|Fairy|15|50|44|25|28|30
174|Igglybuff|Normal,Fairy|15|90|42|30|15|10
175|Togepi|Fairy|20|35|49|20|65|15
176|Togetic|Fairy,Flying|40|55|142|40|85|32
177|Natu|Psychic,Flying|70|40|64|50|45|20
178|Xatu|Psychic,Flying|95|65|165|75|70|150
179|Mareep|Electric|35|55|56|40|40|78
180|Flaaffy|Electric|45|70|128|55|55|133
181|Ampharos|Electric|55|90|230|75|85|615
182|Bellossom|Grass|50|75|221|80|95|58
183|Marill|Water,Fairy|40|70|88|20|50|85
184|Azumarill|Water,Fairy|50|100|189|50|80|285
185|Sudowoodo|Rock|30|70|144|100|115|380
186|Politoed|Water|70|90|225|75|75|339
187|Hoppip|Grass,Flying|50|35|50|35|40|5
188|Skiploom|Grass,Flying|80|55|119|45|50|10
189|Jumpluff|Grass,Flying|110|75|207|55|70|30
190|Aipom|Normal|85|55|72|70|55|115
191|Sunkern|Grass|30|30|36|30|30|18
192|Sunflora|Grass|30|75|149|75|55|85
193|Yanma|Bug,Flying|95|65|78|65|45|380
194|Wooper|Water,Ground|15|55|42|45|45|85
195|Quagsire|Water,Ground|35|95|151|85|85|750
196|Espeon|Psychic|110|65|184|65|60|265
197|Umbreon|Dark|65|95|184|65|110|270
198|Murkrow|Dark,Flying|91|60|81|85|42|21
199|Slowking|Water,Psychic|30|95|172|75|80|795
